Title,Link,pubDate,Description,Source,Tag
This cute baby deer was saved from a gruesome fate thanks to DJI's thermal drone technology - Digital Camera World,https://www.digitalcameraworld.com/news/baby-deer-saved-from-a-gruesome-fate-thanks-to-dji-thermal-drones,6/14/2022,This cute baby deer was saved from a gruesome fate thanks to DJI's thermal drone technology&nbsp;&nbsp;Digital Camera World,Digital Camera World,Sensors-Thermal
Current Affairs in Short: 8 June 2022 - Jagran Josh,https://www.jagranjosh.com/current-affairs/current-affairs-in-short-8-june-2022-1654690783-1,6/8/2022,Current Affairs in Short: 8 June 2022&nbsp;&nbsp;Jagran Josh,Jagran Josh,Sensors-Thermal
These flying robots protect endangered wildlife - Science News for Students,https://www.sciencenewsforstudents.org/article/drones-protect-endangered-wildlife-ai-conservation,3/10/2022,These flying robots protect endangered wildlife&nbsp;&nbsp;Science News for Students,Science News for Students,Sensors-Thermal
Drones and tech keeping track of koalas - 7NEWS,https://7news.com.au/news/wildlife/drones-and-tech-keeping-track-of-koalas-c-7056039,6/6/2022,Drones and tech keeping track of koalas&nbsp;&nbsp;7NEWS,7NEWS,Sensors-Thermal
Stony coral tissue loss disease decimated Caribbean coral populations and reshaped reef functionality | Communications Biology - Nature.com,https://www.nature.com/articles/s42003-022-03398-6,6/9/2022,Stony coral tissue loss disease decimated Caribbean coral populations and reshaped reef functionality | Communications Biology&nbsp;&nbsp;Nature.com,Nature.com,Sensors-Thermal
Thinning increases forest resiliency during unprecedented drought | Scientific Reports - Nature.com,https://www.nature.com/articles/s41598-022-12982-z,5/31/2022,Thinning increases forest resiliency during unprecedented drought | Scientific Reports&nbsp;&nbsp;Nature.com,Nature.com,Sensors-Thermal
"Tech revolution holds world of promise for conservation, but challenges persist - Mongabay.com",https://news.mongabay.com/2022/02/tech-revolution-holds-world-of-promise-for-conservation-but-challenges-persist/,2/2/2022,"Tech revolution holds world of promise for conservation, but challenges persist&nbsp;&nbsp;Mongabay.com",Mongabay.com,Sensors-Thermal
Photonics applications emerge for agriculture - Laser Focus World,https://www.laserfocusworld.com/detectors-imaging/article/14276564/photonics-applications-emerge-for-agriculture,5/19/2022,Photonics applications emerge for agriculture&nbsp;&nbsp;Laser Focus World,Laser Focus World,Sensors-Thermal
Crystal Diamond Mirrors Stand Up to Continuous-Wave Laser Powers - Photonics.com,https://www.photonics.com/Articles/Crystal_Diamond_Mirrors_Stand_Up_to/a68092,6/10/2022,Crystal Diamond Mirrors Stand Up to Continuous-Wave Laser Powers&nbsp;&nbsp;Photonics.com,Photonics.com,Sensors-Thermal
"Tigers of Chandrapur power plant: Not fit for forest, can’t stay in urban areas - Times of India",https://timesofindia.indiatimes.com/city/nagpur/tigers-of-chandrapur-power-plant-not-fit-for-forest-cant-stay-in-urban-areas/articleshow/91714609.cms,5/22/2022,"Tigers of Chandrapur power plant: Not fit for forest, can’t stay in urban areas&nbsp;&nbsp;Times of India",Times of India,Sensors-Thermal
The 10 Best Experiences at Baha Mar - Gotham | Modern Luxury,https://gothammag.com/the-10-best-experiences-at-baha-mar,5/27/2022,The 10 Best Experiences at Baha Mar&nbsp;&nbsp;Gotham | Modern Luxury,Gotham | Modern Luxury,Sensors-Thermal
There's nowhere to hide: This drone can track targets through forests - The Next Web,https://thenextweb.com/news/theres-nowhere-hide-drone-can-track-targets-through-forests,5/24/2022,There's nowhere to hide: This drone can track targets through forests&nbsp;&nbsp;The Next Web,The Next Web,Sensors-Thermal
Bridging the gap between public understanding and realities of living alongside elephants - Open Access Government,https://www.openaccessgovernment.org/elephant-conservation-china/129491/,2/11/2022,Bridging the gap between public understanding and realities of living alongside elephants&nbsp;&nbsp;Open Access Government,Open Access Government,Sensors-Thermal
Mapping riparian zone macro litter abundance using combination of optical and thermal sensor | Scientific Reports - Nature.com,https://www.nature.com/articles/s41598-022-09974-4,4/12/2022,Mapping riparian zone macro litter abundance using combination of optical and thermal sensor | Scientific Reports&nbsp;&nbsp;Nature.com,Nature.com,Sensors-Thermal
Drones to support wildlife conservation - Innovation Origins,https://innovationorigins.com/en/selected/drones-to-support-wildlife-conservation/,12/8/2021,Drones to support wildlife conservation&nbsp;&nbsp;Innovation Origins,Innovation Origins,Sensors-Thermal
